V= -2.58196003103202862405e+01 ,P= 3.73475339663458289579e+04
V= 3.36180399689679688890e+02 ,P= -2.41542434771418047603e+05
V= 3.37180399689679688890e+02 ,P= -2.42216098354335495969e+05
V= 3.38180399689679688890e+02 ,P= -2.42888236571085988544e+05
V= 3.39180399689679688890e+02 ,P= -2.43558802857847767882e+05
V= 3.40180399689679688890e+02 ,P= -2.44227749239911907353e+05
V= 3.41180399689679688890e+02 ,P= -2.44895026289250992704e+05
V= 3.42180399689679688890e+02 ,P= -2.45560583077997784130e+05
V= 3.43180399689679688890e+02 ,P= -2.46224367137690482195e+05
V= 3.44180399689679688890e+02 ,P= -2.46886324406305677257e+05
V= 3.45180399689679688890e+02 ,P= -2.47546399186448630644e+05
V= 3.46180399689679688890e+02 ,P= -2.48204534094905015081e+05
V= 3.47180399689679688890e+02 ,P= -2.48860670007040811470e+05
V= 3.48180399689679688890e+02 ,P= -2.49514746011533512501e+05
V= 3.49180399689679688890e+02 ,P= -2.50166699351764691528e+05
V= 3.50180399689679688890e+02 ,P= -2.50816465371128346305e+05
V= 3.51180399689679688890e+02 ,P= -2.51463977456797118066e+05
V= 3.52180399689679688890e+02 ,P= -2.52109166981003916590e+05
V= 3.53180399689679688890e+02 ,P= -2.52751963237015181221e+05
V= 3.54180399689679688890e+02 ,P= -2.53392293382749048760e+05
V= 3.55180399689679688890e+02 ,P= -2.54030082370709744282e+05
V= 3.56180399689679688890e+02 ,P= -2.54665252886472095270e+05
V= 3.57180399689679688890e+02 ,P= -2.55297725274287600769e+05
V= 3.58180399689679688890e+02 ,P= -2.55927417475014488446e+05
V= 3.59180399689679688890e+02 ,P= -2.56554244946389604593e+05
V= 3.60180399689679688890e+02 ,P= -2.57178120590899838135e+05
V= 3.61180399689679688890e+02 ,P= -2.57798954681910894578e+05
V= 3.62180399689679688890e+02 ,P= -2.58416654779464646708e+05
V= 3.63180399689679688890e+02 ,P= -2.59031125653711555060e+05
V= 3.64180399689679688890e+02 ,P= -2.59642269196981913410e+05
V= 3.65180399689679688890e+02 ,P= -2.60249984341590548865e+05
V= 3.66180399689679688890e+02 ,P= -2.60854166965193086071e+05
V= 3.67180399689679688890e+02 ,P= -2.61454709803765232209e+05
V= 3.68180399689679688890e+02 ,P= -2.62051502357837714953e+05
V= 3.69180399689679688890e+02 ,P= -2.62644430789934529457e+05
V= 3.70180399689679688890e+02 ,P= -2.63233377830598503351e+05
V= 3.71180399689679688890e+02 ,P= -2.63818222671702445950e+05
V= 3.72180399689679688890e+02 ,P= -2.64398840859556396026e+05
V= 3.73180399689679688890e+02 ,P= -2.64975104189791076351e+05
V= 3.74180399689679688890e+02 ,P= -2.65546880590292334091e+05
V= 3.75180399689679688890e+02 ,P= -2.66114034007775131613e+05
V= 3.76180399689679688890e+02 ,P= -2.66676424288194510154e+05
V= 3.77180399689679688890e+02 ,P= -2.67233907049906905740e+05
V= 3.78180399689679688890e+02 ,P= -2.67786333565392007586e+05
V= 3.79180399689679688890e+02 ,P= -2.68333550620793888811e+05
